iter	Passed	Remaining
401	12652	18821
402	12688	18797
403	12718	18763
404	12749	18731
405	12780	18697
406	12806	18659
407	12837	18626
408	12866	18592
409	12894	18556
410	12923	18520
411	12952	18485
412	12981	18450
413	13010	18415
414	13038	18379
415	13068	18345
416	13097	18311
417	13128	18278
418	13156	18243
419	13183	18205
420	13213	18172
421	13243	18138
422	13274	18107
423	13306	18076
424	13335	18041
425	13366	18010
426	13396	17977
427	13424	17941
428	13453	17906
429	13482	17871
430	13510	17836
431	13546	17811
432	13585	17789
433	13618	17760
434	13648	17727
435	13677	17693
436	13707	17659
437	13736	17625
438	13767	17593
439	13797	17560
440	13827	17527
441	13856	17493
442	13884	17457
443	13913	17422
444	13942	17388
445	13971	17354
446	14000	17320
447	14030	17287
448	14063	17258
449	14094	17226
450	14124	17193
451	14156	17162
452	14186	17130
453	14218	17099
454	14248	17067
455	14277	17033
456	14309	17002
457	14339	16969
458	14369	16936
459	14397	16901
460	14424	16865
461	14455	16832
462	14483	16798
463	14511	16762
464	14541	16730
465	14569	16695
466	14599	16663
467	14628	16628
468	14655	16593
469	14686	16561
470	14716	16528
471	14745	16494
472	14773	16459
473	14800	16424
474	14829	16391
475	14861	16359
476	14899	16336
477	14930	16305
478	14961	16273
479	14989	16238
480	15019	16205
481	15048	16172
482	15077	16138
483	15107	16106
484	15135	16072
485	15165	16039
486	15198	16009
487	15228	15977
488	15258	15944
489	15288	15912
490	15320	15881
491	15349	15849
492	15378	15815
493	15412	15786
494	15442	15754
495	15470	15720
496	15499	15686
497	15554	15679
498	15593	15655
499	15623	15623
500	15654	15591
501	15681	15556
502	15710	15522
503	15741	15491
504	15771	15458
505	15800	15425
506	15829	15392
507	15857	15357
508	15885	15323
509	15914	15290
510	15944	15257
511	15973	15224
512	16000	15189
513	16029	15155
514	16058	15123
515	16085	15088
516	16114	15054
517	16145	15023
518	16176	14992
519	16209	14962
520	16238	14929
521	16285	14912
522	16315	14880
523	16349	14851
524	16389	14828
525	16418	14795
526	16448	14763
527	16480	14732
528	16511	14700
529	16541	14668
530	16571	14636
531	16601	14604
532	16630	14571
533	16659	14538
534	16688	14504
535	16717	14472
536	16751	14442
537	16782	14411
538	16814	14381
539	16843	14348
540	16875	14317
541	16905	14285
542	16934	14252
543	16964	14220
544	16993	14187
545	17020	14152
546	17049	14119
547	17078	14086
548	17107	14053
549	17137	14021
550	17169	13991
551	17202	13961
552	17234	13930
553	17264	13898
554	17293	13866
555	17324	13834
556	17356	13804
557	17386	13771
558	17416	13740
559	17445	13706
560	17474	13674
561	17502	13640
562	17532	13608
563	17561	13575
564	17590	13542
565	17620	13510
566	17649	13478
567	17676	13444
568	17705	13411
569	17731	13376
570	17760	13343
571	17787	13309
572	17815	13275
573	17843	13242
574	17872	13210
575	17903	13179
576	17932	13146
577	17961	13113
578	17989	13080
579	18017	13047
580	18046	13014
581	18073	12980
582	18106	12951
583	18138	12920
584	18169	12889
585	18202	12859
586	18233	12828
587	18266	12798
588	18298	12768
589	18329	12737
590	18358	12705
591	18387	12672
592	18417	12640
593	18445	12607
594	18473	12574
595	18500	12540
596	18528	12507
597	18556	12474
598	18584	12441
599	18612	12408
600	18640	12375
601	18669	12343
602	18698	12310
603	18727	12278
604	18754	12244
605	18784	12212
606	18813	12180
607	18841	12147
608	18869	12115
609	18899	12083
610	18927	12050
611	18954	12016
612	18982	11984
613	19009	11950
614	19036	11917
615	19064	11884
616	19092	11851
617	19120	11818
618	19149	11786
619	19195	11765
620	19238	11741
621	19271	11711
622	19303	11681
623	19333	11649
624	19367	11620
625	19398	11589
626	19427	11557
627	19456	11525
628	19489	11495
629	19518	11463
630	19548	11431
631	19577	11399
632	19606	11367
633	19635	11335
634	19665	11303
