iter	Logloss
0	0.6576612737
1	0.6314087838
2	0.6089336771
3	0.5900342988
4	0.5749622491
5	0.5626255095
6	0.5522432754
7	0.5443423359
8	0.5380590493
9	0.5323467948
10	0.5270163425
11	0.5231777254
12	0.5194200931
13	0.5163246959
14	0.513579998
15	0.5113764895
16	0.5093223452
17	0.5076568503
18	0.506155736
19	0.5050143526
20	0.5035736442
21	0.502223017
22	0.5009742294
23	0.4997856672
24	0.4987749901
25	0.4980947663
26	0.4971176258
27	0.4966108352
28	0.496029558
29	0.4953388354
30	0.4946780381
31	0.4940111241
32	0.4933260782
33	0.4927625121
34	0.4922230946
35	0.4917481404
36	0.4913398742
37	0.4910776609
38	0.490666538
39	0.4901618984
40	0.4896318766
41	0.4893207356
42	0.4888532101
43	0.4885167528
44	0.4881682674
45	0.4878007905
46	0.4875392513
47	0.4872741846
48	0.4870688922
49	0.4869239609
50	0.4865844565
51	0.4863426007
52	0.4860323874
53	0.4856306665
54	0.4852953253
55	0.4851077612
56	0.4848099449
57	0.4845133397
58	0.4844087088
59	0.4840912015
60	0.483784833
61	0.4835599509
62	0.4834448761
63	0.4832107946
64	0.4829467713
65	0.4826752009
66	0.4823797334
67	0.4821717879
68	0.4819946034
69	0.4817962682
70	0.4817153869
71	0.4814836151
72	0.4813090139
73	0.4811469336
74	0.4808824642
75	0.4808205848
76	0.480655559
77	0.4805233945
78	0.4803827543
79	0.4803215899
80	0.4801260677
81	0.4799299697
82	0.4797805825
83	0.4796981166
84	0.4795356914
85	0.4794504097
86	0.479297934
87	0.4791927521
88	0.4790425295
89	0.478953748
90	0.4788456482
91	0.4787194592
92	0.4785950521
93	0.4784758479
94	0.4783473699
95	0.4782493063
96	0.4780239502
97	0.4779107194
98	0.4777829168
99	0.4776837669
100	0.4775824209
101	0.4775279059
102	0.4774099012
103	0.4773175047
104	0.4772030491
105	0.4770123073
106	0.4768950672
107	0.4767451105
108	0.4766641468
109	0.4765946648
110	0.4763777506
111	0.4762805812
112	0.476148253
113	0.476038139
114	0.475932712
115	0.4758551385
116	0.4758025346
117	0.4756881312
118	0.4756470507
119	0.4755737328
120	0.4754338372
121	0.4753492093
122	0.4752777627
123	0.4751781229
124	0.4751483934
125	0.4749989566
126	0.474945763
127	0.4748627026
128	0.4747903218
129	0.4746850877
130	0.474513971
131	0.4744584707
132	0.4743424122
133	0.4742892836
134	0.4742063806
135	0.4741258586
136	0.474024905
137	0.473984099
138	0.4739013467
139	0.4737330421
140	0.4736438149
141	0.4735817775
142	0.4734885848
143	0.4734096818
144	0.4733382319
145	0.473212272
146	0.4730334297
147	0.4729411153
148	0.4728698161
149	0.4727554019
150	0.4726557584
151	0.4725058299
152	0.4724335193
153	0.4722803274
154	0.4721947304
155	0.4720541456
156	0.4719468006
157	0.4718524492
158	0.471769683
159	0.4716927204
160	0.4716053584
161	0.4714972774
162	0.4714289023
163	0.4713605192
164	0.4712709883
165	0.4711786116
166	0.4711156769
167	0.4710017531
168	0.4709344012
169	0.4708422836
170	0.4707313722
171	0.4706757233
172	0.4706265547
173	0.4705125755
174	0.4703440838
175	0.4702009259
176	0.4700720162
177	0.4699660526
178	0.4699116668
179	0.4697404004
180	0.4696146393
181	0.4695346537
182	0.4694665288
183	0.4693324705
184	0.4692331679
185	0.4691682604
186	0.4690802494
187	0.4689819803
188	0.4688721642
189	0.4688013504
190	0.4687318625
191	0.4686543826
192	0.4685713834
193	0.4684867026
194	0.4684185518
195	0.4683666504
196	0.4683166087
197	0.468183806
198	0.468129678
199	0.4680569301
200	0.4679812779
201	0.4679112862
202	0.46786958
203	0.4678027858
204	0.4676847834
205	0.467597317
206	0.4675312336
207	0.4674409675
208	0.4674040923
209	0.4673214896
210	0.4672863194
211	0.4672194509
212	0.4671413229
213	0.4671084755
214	0.4670214467
215	0.4669944003
216	0.466896391
217	0.4668208417
218	0.4667278918
219	0.4666631979
220	0.4665921568
221	0.4665655399
222	0.4665115507
223	0.4664523783
224	0.4663731629
225	0.4662694547
226	0.4662195618
227	0.4661668948
228	0.4661017196
229	0.4660111247
230	0.4659590331
231	0.4658996539
232	0.4658396951
233	0.4657914229
234	0.4657559822
235	0.4657047421
236	0.465651048
237	0.4655176981
238	0.4654505182
239	0.4653651978
240	0.4653220328
241	0.4652866078
242	0.4651931896
243	0.4651506627
244	0.4650841647
245	0.465010536
246	0.4649246879
247	0.4649090028
248	0.4648163797
249	0.4647556529
250	0.4647142243
251	0.4646789363
252	0.4646321037
253	0.4645518191
254	0.4644968084
255	0.4644558445
256	0.4644132763
257	0.464360563
258	0.4643057061
259	0.4642298039
260	0.4641780479
261	0.4640850585
262	0.4640047759
263	0.4639747435
264	0.4639476271
265	0.4638401367
266	0.4638147499
267	0.4637561471
268	0.4636805774
269	0.463639028
270	0.4635785068
271	0.4635057424
272	0.463435339
273	0.4633482834
274	0.4632922363
275	0.463236135
276	0.4632003876
277	0.4631742399
278	0.4630652483
279	0.463014468
280	0.4628775166
281	0.4628207944
282	0.4627586046
283	0.4627102549
284	0.4626475318
285	0.4625608684
286	0.4625204413
287	0.4624843847
288	0.4624521468
289	0.4623802936
290	0.4623426247
291	0.4622912707
292	0.4622194866
293	0.4621185538
294	0.4620411155
295	0.4619920747
296	0.4619335416
297	0.4618809793
298	0.461756473
299	0.4616875546
300	0.4616319056
301	0.4615735716
302	0.4614839194
303	0.461452004
304	0.461382403
305	0.4613234522
306	0.4612629527
307	0.4612119988
308	0.4611542432
309	0.4611047711
310	0.4610538958
311	0.4609963266
312	0.4609405445
313	0.4608770471
314	0.4608414955
315	0.460813949
316	0.4607677506
317	0.4606810669
318	0.46060228
319	0.460526313
320	0.4604426365
321	0.4603876992
322	0.4603508599
323	0.4603139129
324	0.4602762256
325	0.4602439059
326	0.4602002271
327	0.4601425546
328	0.4600938878
329	0.4600578104
330	0.4600121471
331	0.4599671821
332	0.4599199806
333	0.4598333071
334	0.4597656632
335	0.4597256735
336	0.4596670401
337	0.459596997
338	0.4595653984
339	0.4595142235
340	0.4594681501
341	0.4594082622
342	0.4593554128
343	0.4593314689
344	0.4593021802
345	0.4592720488
346	0.4592102491
347	0.4591815449
348	0.4591188384
349	0.4590853721
350	0.4589994601
351	0.4589317988
352	0.4588901118
353	0.4588190615
354	0.4587506892
355	0.4587130728
356	0.4586709537
357	0.458603226
358	0.4585560693
359	0.458505129
360	0.4584682132
361	0.4584319703
362	0.4584007211
363	0.4583283003
364	0.4582182685
365	0.4581518739
366	0.4581146976
367	0.4580594567
368	0.4579563767
369	0.4579247942
370	0.4578704259
371	0.4578480144
372	0.4578214055
373	0.4577816176
374	0.4577526135
375	0.4577254391
376	0.457675841
377	0.4576215736
378	0.4575690068
379	0.4575449024
380	0.4574667576
381	0.45743349
382	0.4574023642
383	0.4573551147
384	0.457283721
385	0.4572338681
386	0.4572093623
387	0.4571675475
388	0.4571204071
389	0.4570686088
390	0.4570248149
391	0.4569684032
392	0.4569098707
393	0.4568280168
394	0.4567915094
395	0.4567097655
396	0.4566092599
397	0.4565779619
398	0.4565377713
399	0.456499198
400	0.4564551315
401	0.4564413064
402	0.4564033524
403	0.4563558134
404	0.4563080612
405	0.4562614318
406	0.4562270422
407	0.4561780451
408	0.4561397017
409	0.456103196
410	0.4560351971
411	0.4559895849
412	0.4559161651
413	0.4558372064
414	0.4558131846
415	0.4557658506
416	0.4557078551
417	0.4556632638
418	0.4556243152
419	0.4555800099
420	0.4555386957
421	0.4555015364
422	0.4554066795
423	0.4553464401
424	0.4552860335
425	0.4552464333
426	0.4551989004
427	0.4551655289
428	0.4551164432
429	0.4550963305
430	0.4550523939
431	0.4550091336
432	0.4549659447
433	0.454936095
434	0.4548918714
435	0.4548693905
436	0.454834764
437	0.4548001948
438	0.4547774572
439	0.454717664
440	0.4546742164
441	0.4546263594
442	0.4545746714
443	0.4545283401
444	0.4544830355
445	0.4544582753
446	0.4544099662
447	0.4543437569
448	0.4543107769
449	0.4542505561
450	0.4542132073
451	0.4541793557
452	0.4541356679
453	0.4540806937
454	0.4540559332
455	0.45401205
456	0.4539636534
457	0.4539235802
458	0.4538849783
459	0.4538445347
460	0.4538142744
461	0.4537416696
462	0.4536956769
463	0.4536432007
464	0.4535882513
465	0.4535425329
466	0.4534635592
467	0.4534419849
468	0.4534184726
469	0.4533781994
470	0.4533293171
471	0.4532772572
472	0.4532606093
473	0.4532397013
474	0.4531675674
475	0.4531326446
476	0.453112918
477	0.4530874592
478	0.4530559452
479	0.4530006793
480	0.4529082438
481	0.4528647874
482	0.4528275074
483	0.4527571293
484	0.4527176478
485	0.4526592266
486	0.4526233096
487	0.4525951171
488	0.4525389912
489	0.4524842295
490	0.4524081362
491	0.4523772355
492	0.4523241697
493	0.4523130045
494	0.4522898411
495	0.4522613343
496	0.4522303521
497	0.452178268
498	0.4521411129
499	0.4521038025
500	0.4520596761
501	0.4520424025
502	0.4519551839
503	0.4518881188
504	0.4518546611
505	0.4518119478
506	0.4517648147
507	0.4517431197
508	0.4516973923
509	0.4516541266
510	0.4516168117
511	0.4515603433
512	0.4515438842
513	0.4515289668
514	0.4514818831
515	0.4514714745
516	0.4514122398
517	0.4513723405
518	0.4513172799
519	0.4512574966
520	0.4512432798
521	0.4511946916
522	0.4511479253
523	0.4511206424
524	0.4510789529
525	0.4510413018
526	0.4509773381
527	0.4509165296
528	0.4508802052
529	0.4508423395
530	0.4508051496
531	0.450774588
532	0.4507512537
533	0.4507115644
534	0.4506774688
535	0.4506317701
536	0.4505827192
537	0.450525314
538	0.4504995107
539	0.4504517386
540	0.4504005221
541	0.4503759924
542	0.4503162514
543	0.4502718107
544	0.4502210629
545	0.4501904418
546	0.4501470755
547	0.4500801685
548	0.4500542934
549	0.4500197291
550	0.4499927852
551	0.4499728209
552	0.4499508966
553	0.4499097445
554	0.4498754472
555	0.4498261577
556	0.4497905127
557	0.4497643127
558	0.4496879605
559	0.4496803908
560	0.4496391735
561	0.4496018317
562	0.4495598748
563	0.4495248283
564	0.4494664105
565	0.4494314947
566	0.4493919334
567	0.4493648001
568	0.4493291564
569	0.4493057815
570	0.4492683263
571	0.4492376689
572	0.4492213101
573	0.449201784
574	0.4491672498
575	0.4491076572
576	0.4490865077
577	0.4490634128
578	0.4490430678
579	0.4490208546
580	0.4489818213
581	0.4489366159
582	0.4488878427
583	0.448852084
584	0.4488218731
585	0.4487757816
586	0.4487360727
587	0.4486955439
588	0.4486339701
589	0.4485788384
590	0.4485480732
591	0.448507682
592	0.4484927753
593	0.4484267419
594	0.4484061006
595	0.4483838124
596	0.4483615192
597	0.4483388496
598	0.4483124541
599	0.448300548
600	0.4482657635
601	0.4482307754
602	0.4482156047
603	0.4481788329
604	0.4481522026
605	0.4481154471
606	0.4480710658
607	0.448027372
608	0.4480182922
609	0.4479865018
610	0.4479517466
611	0.4479407341
612	0.4478763427
613	0.4478627418
614	0.4478296286
615	0.4477938764
616	0.4477711774
617	0.4477581387
618	0.4477348617
619	0.4477045096
620	0.4476734151
621	0.4476518827
622	0.44762141
623	0.447568579
624	0.447529132
625	0.4474694778
626	0.4474231
627	0.447394559
628	0.447378001
629	0.4473578606
630	0.4473199597
631	0.4472932424
632	0.4472773372
633	0.4472534375
634	0.4472161716
635	0.4471749209
636	0.447111336
637	0.4470825215
638	0.4470336567
639	0.4470100627
640	0.4469585329
641	0.4469271722
642	0.4469125468
643	0.4468834591
644	0.4468434478
645	0.4468172835
646	0.4467519664
647	0.4467089614
648	0.446695439
649	0.4466720427
650	0.4466325293
651	0.4465605855
652	0.4465302276
653	0.4464956714
654	0.4464844568
655	0.4464653758
656	0.4464441344
657	0.4464364313
658	0.446413658
659	0.4463674042
660	0.4463527792
661	0.4463046056
662	0.4462693441
663	0.446230373
664	0.4461987593
665	0.4461699232
666	0.4461343939
667	0.4461051844
668	0.4460649824
669	0.4460276421
670	0.4459742686
671	0.4459391551
672	0.4459121365
673	0.4459010416
674	0.4458623188
675	0.4458409367
676	0.4458134434
677	0.4458008995
678	0.4457799414
679	0.4457153982
680	0.4456690189
681	0.4456375787
682	0.4456174181
683	0.4455605607
684	0.445485124
685	0.445422216
686	0.4453754359
687	0.4453245389
688	0.445308308
689	0.445291237
690	0.4452385261
691	0.4452125136
692	0.4451807952
693	0.4451741391
694	0.445151775
695	0.4451227602
696	0.4450895772
697	0.4450604666
698	0.4450206863
699	0.44500769
700	0.4449913459
701	0.4449235434
702	0.4448869011
703	0.4448551616
704	0.4448263345
705	0.4447701776
706	0.4447263242
707	0.444711478
708	0.4447037669
709	0.4446522287
710	0.4445843763
711	0.4445626575
712	0.4445276487
713	0.444490395
714	0.4444807772
715	0.4444601586
716	0.4444150766
717	0.4443716739
718	0.4443632596
719	0.4443208371
720	0.4442675261
721	0.444241592
722	0.4442225763
723	0.4441944622
724	0.4441550972
725	0.4441274859
726	0.4440877139
727	0.4440310597
728	0.4440254357
729	0.443984279
730	0.4439619199
731	0.4439428805
732	0.4439228699
733	0.4438957182
734	0.4438488805
735	0.4438098261
736	0.4437868755
737	0.4437694875
738	0.4437160518
739	0.44366595
740	0.4436403418
741	0.4436264875
742	0.4436037407
743	0.4435607757
744	0.4435374076
745	0.4434988196
746	0.4434646623
747	0.4434360746
748	0.4433810025
749	0.4433565307
750	0.4433222293
751	0.4432651152
752	0.4432233706
753	0.4431946205
754	0.4431731689
755	0.4431006525
756	0.4430605835
757	0.4430184904
758	0.4429726811
759	0.4429525451
760	0.4429206499
761	0.4428951715
762	0.4428536079
763	0.4428185674
764	0.4427520606
765	0.4426971599
766	0.4426794722
767	0.442636899
768	0.4426198665
769	0.4425728044
770	0.4425392804
771	0.4424900351
772	0.4424622975
773	0.442422169
774	0.4423709695
775	0.4423182536
776	0.4422643944
777	0.4422035179
778	0.4421577171
779	0.4421289138
780	0.4420693456
781	0.4420388297
782	0.44201864
783	0.4419873708
784	0.4419388774
785	0.4419241072
786	0.4419122181
787	0.4418957106
788	0.4418698679
789	0.4418432275
790	0.4417975747
791	0.4417659053
792	0.4417521222
793	0.4417241664
794	0.4416787491
795	0.4416476625
796	0.4416057323
797	0.4415802374
798	0.4415484105
799	0.4415064204
800	0.4414592728
801	0.4414264777
802	0.4413867864
803	0.4413620566
804	0.4413061898
805	0.4412830106
806	0.4412560114
807	0.4411924711
808	0.4411601289
809	0.4411184486
810	0.441082054
811	0.4410452005
812	0.441017077
813	0.4410052457
814	0.4409915238
815	0.4409616806
816	0.4409448012
817	0.4409084363
818	0.4408662258
819	0.4408527508
820	0.4407949574
821	0.4407627155
822	0.4407183877
823	0.4406943734
824	0.4406744096
825	0.4406396745
826	0.4406111857
827	0.440593362
